Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AJ Hosein,3.0,2.0,1.0,24.0,23.0,24.0,19.0,126.31,0.0,0.0,0.0,2.0,0.0
Aayan Afzal Khan,3.0,2.0,0.0,24.0,19.0,12.0,28.0,85.71,0.0,0.0,0.0,1.0,0.0
Taskin Ahmed,5.0,4.0,1.0,23.0,12.0,7.66,30.0,76.66,0.0,0.0,1.0,2.0,1.0
Shaheen Shah Afridi,7.0,3.0,1.0,22.0,16.0,11.0,12.0,183.33,0.0,0.0,0.0,2.0,1.0
B Evans,2.0,2.0,0.0,21.0,19.0,10.5,17.0,123.52,0.0,0.0,0.0,0.0,1.0
R Ashwin,6.0,4.0,3.0,21.0,13.0,21.0,18.0,116.66,0.0,0.0,0.0,1.0,1.0
PJ Cummins,4.0,2.0,0.0,21.0,21.0,10.5,20.0,105.0,0.0,0.0,1.0,2.0,1.0
JN Loftie-Eaton,3.0,3.0,0.0,21.0,20.0,7.0,20.0,105.0,0.0,0.0,1.0,1.0,2.0
R Ngarava,8.0,5.0,1.0,21.0,9.0,5.25,20.0,105.0,0.0,0.0,0.0,0.0,2.0
Fakhar Zaman,1.0,1.0,0.0,20.0,20.0,20.0,16.0,125.0,0.0,0.0,0.0,3.0,0.0
CN Greaves,3.0,2.0,2.0,19.0,16.0,0.0,18.0,105.55,0.0,0.0,0.0,2.0,0.0
Junaid Siddique,3.0,2.0,1.0,18.0,18.0,18.0,17.0,105.88,0.0,0.0,0.0,1.0,1.0
Mohammad Nabi,3.0,3.0,0.0,17.0,13.0,5.66,15.0,113.33,0.0,0.0,0.0,1.0,0.0
JB Little,7.0,4.0,2.0,16.0,8.0,8.0,21.0,76.19,0.0,0.0,1.0,1.0,1.0
Mohammad Wasim,6.0,3.0,1.0,16.0,12.0,8.0,22.0,72.72,0.0,0.0,1.0,2.0,0.0
Darwish Rasooli,1.0,1.0,0.0,15.0,15.0,15.0,13.0,115.38,0.0,0.0,0.0,1.0,0.0
MS Wade,4.0,3.0,1.0,15.0,7.0,7.5,15.0,100.0,0.0,0.0,0.0,2.0,0.0
Kashif Daud,2.0,2.0,0.0,15.0,15.0,7.5,18.0,83.33,0.0,0.0,1.0,0.0,1.0
LV van Beek,6.0,4.0,2.0,15.0,6.0,7.5,23.0,65.21,0.0,0.0,0.0,0.0,0.0
KD Karthik,4.0,3.0,0.0,14.0,7.0,4.66,22.0,63.63,0.0,0.0,0.0,1.0,0.0
KA Maharaj,4.0,1.0,0.0,13.0,13.0,13.0,12.0,108.33,0.0,0.0,0.0,0.0,1.0
TL Chatara,7.0,3.0,1.0,13.0,6.0,6.5,19.0,68.42,0.0,0.0,0.0,1.0,0.0
F Hand,3.0,3.0,0.0,12.0,6.0,4.0,11.0,109.09,0.0,0.0,0.0,2.0,0.0
SM Curran,6.0,2.0,1.0,12.0,6.0,12.0,14.0,85.71,0.0,0.0,0.0,0.0,1.0
