Player,Overs,Mdns,Runs conceded,Wickets taken,Econ,Team,Innings in match,Opposition,Ground,Match Date,Scorecard
TL Chatara,4.0,,22.0,2.0,5.5,Zimbabwe,2.0,v Ireland,Hobart,2022-10-17,T20I # 1828
R Ngarava,4.0,,22.0,2.0,5.5,Zimbabwe,2.0,v Ireland,Hobart,2022-10-17,T20I # 1828
BD Glover,2.5,,22.0,2.0,7.76,Netherlands,2.0,v Pakistan,Perth,2022-10-30,T20I # 1852
A Zampa,4.0,,22.0,2.0,5.5,Australia,2.0,v Afghanistan,Adelaide,2022-11-04,T20I # 1864
AU Rashid,4.0,1.0,22.0,2.0,5.5,England,1.0,v Pakistan,Melbourne,2022-11-13,T20I # 1879
MA Wood,4.0,,23.0,2.0,5.75,England,1.0,v Afghanistan,Perth,2022-10-22,T20I # 1840
CAK Rajitha,4.0,,23.0,2.0,5.75,Sri Lanka,1.0,v New Zealand,Sydney,2022-10-29,T20I # 1850
B Muzarabani,4.0,,23.0,2.0,5.75,Zimbabwe,2.0,v Netherlands,Adelaide,2022-11-02,T20I # 1859
PW Hasaranga,4.0,,23.0,2.0,5.75,Sri Lanka,2.0,v England,Sydney,2022-11-05,T20I # 1867
Haris Rauf,4.0,,23.0,2.0,5.75,Pakistan,2.0,v England,Melbourne,2022-11-13,T20I # 1879
JJ Smit,4.0,,24.0,2.0,6.0,Namibia,2.0,v Netherlands,Geelong,2022-10-18,T20I # 1830
TA Boult,4.0,,24.0,2.0,6.0,New Zealand,2.0,v Australia,Sydney,2022-10-22,T20I # 1839
R Ngarava,4.0,,24.0,2.0,6.0,Zimbabwe,1.0,v Bangladesh,Brisbane,2022-10-30,T20I # 1851
Mujeeb Ur Rahman,4.0,,24.0,2.0,6.0,Afghanistan,2.0,v Sri Lanka,Brisbane,2022-11-01,T20I # 1856
DM de Silva,4.0,,24.0,2.0,6.0,Sri Lanka,2.0,v England,Sydney,2022-11-05,T20I # 1867
CBRLS Kumara,3.4,,24.0,2.0,6.54,Sri Lanka,2.0,v England,Sydney,2022-11-05,T20I # 1867
Adjust:Most recentPast weekPast MonthPast year4 years10 years25 years,,,,,,,,,,,
